,title,artist
1위,Butter,방탄소년단
2위,Dun Dun Dance,오마이걸 (OH MY GIRL)
3위,헤픈 우연,헤이즈 (Heize)
4위,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber
5위,롤린 (Rollin'),브레이브걸스
6위,Next Level,aespa
7위,라일락,아이유
8위,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)"
9위,운전만해 (We Ride),브레이브걸스
10위,Celebrity,아이유
11위,Dynamite,방탄소년단
12위,Timeless,SG 워너비
13위,ASAP,STAYC(스테이씨)
14위,상상더하기,라붐 (LABOUM)
15위,마.피.아. In the morning,ITZY (있지)
16위,라라라,SG 워너비
17위,내 손을 잡아,아이유
18위,멜로디,ASH ISLAND
19위,밝게 빛나는 별이 되어 비춰줄게,송이한
20위,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
21위,내사람,SG 워너비
22위,체념,"정상동기 (김정수, 정기석, 이동휘, 이상이)"
23위,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭
24위,Coin,아이유
25위,밤하늘의 별을(2020),경서
26위,On The Ground,로제 (ROSÉ)
27위,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685
28위,잠이 오질 않네요,장범준
29위,Lovesick Girls,BLACKPINK
30위,취기를 빌려 (취향저격 그녀 X 산들),산들
31위,Blueming,아이유
32위,에잇(Prod.&Feat. SUGA of BTS),아이유
33위,어푸 (Ah puh),아이유
34위,만약에,"M.O.M (별루지, 강창모, 박재정, 원슈타인)"
35위,그냥 안아달란 말야,다비치
36위,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
37위,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani)
38위,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재
39위,12:45 (Stripped),Etham
40위,Life Goes On,방탄소년단
41위,Dolphin,오마이걸 (OH MY GIRL)
42위,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션)
43위,봄날,방탄소년단
44위,그날에 나는 맘이 편했을까,이예준
45위,추억은 만남보다 이별에 남아,정동하
46위,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
47위,살다가,SG 워너비
48위,오래된 노래,스탠딩 에그
49위,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM
50위,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
51위,2002,Anne-Marie
52위,METEOR,창모 (CHANGMO)
53위,"친구, 그 오랜시간",정승환
54위,처음처럼 (Feat. 개리),헤이즈 (Heize)
55위,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL)
56위,너의 번호를 누르고 (Prod. 영화처럼),#안녕
57위,힘든 건 사랑이 아니다,임창정
58위,Off My Face,Justin Bieber
59위,아로하,조정석
60위,사실 나는 (Feat.전건호),경서예지
61위,어떻게 지내 (Prod. By VAN.C),오반 (OVAN)
62위,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
63위,맛 (Hot Sauce),NCT DREAM
64위,I Love U,성시경
65위,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈)
66위,Memories,Maroon 5
67위,늦은 밤 너의 집 앞 골목길에서,노을
68위,How You Like That,BLACKPINK
69위,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy)
70위,이제 나만 믿어요,임영웅
71위,아이와 나의 바다,아이유
72위,봄 안녕 봄,아이유
73위,Dance Monkey,Tones And I
74위,마음을 드려요,아이유
75위,서울의 잠 못 이루는 밤 (Feat. 이수현),10CM
76위,Love poem,아이유
77위,If You Love Me (Feat. 주헌 (몬스타엑스)),NS 윤지
78위,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN)
79위,기다릴게,하동균
80위,감기 (Feat. 창모),헤이즈 (Heize)
81위,고백 (바른연애 길잡이 X 허각),허각
82위,너를 만나,폴킴
83위,Paris In The Rain,Lauv
84위,When We Disco (Duet with 선미),박진영
85위,함께 했는데 이별은 나 혼자인 거야,소정 (레이디스 코드)
86위,Je T′aime,조이 (JOY)
87위,우린 어쩌다 헤어진 걸까,허각
88위,우리 왜 헤어져야 해,신예영
89위,시작,가호 (Gaho)
90위,Don't Start Now,Dua Lipa
91위,Flu,아이유
92위,거짓말이라도 해서 널 보고싶어,백지영
93위,Maniac,Conan Gray
94위,안녕,폴킴
95위,혼술하고 싶은 밤,벤
96위,Downtown Baby,블루 (BLOO)
97위,서면역에서,순순희
98위,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI)
99위,죄와벌,SG 워너비
100위,되풀이,임창정
