,title
1위,분노의 질주: 더 얼티메이트
2위,크루엘라
3위,파이프라인
4위,스파이럴
5위,극장판 귀멸의 칼날: 무한열차편
6위,도라에몽: 스탠바이미 2
7위,아미 오브 더 데드
8위,보이저스
9위,더 스파이
10위,혼자 사는 사람들
11위,비와 당신의 이야기
12위,크루즈 패밀리: 뉴 에이지
13위,노매드랜드
14위,라이더스 오브 저스티스
15위,미나리
16위,내일의 기억
17위,애플
18위,아들의 이름으로
19위,500일의 썸머
20위,컨저링 3: 악마가 시켰다
21위,굴뚝마을의 푸펠
22위,내가 죽기를 바라는 자들
23위,이터널스
24위,인트로덕션
25위,캐시트럭
26위,쇼크 웨이브 2
27위,아이들은 즐겁다
28위,명탐정 코난: 비색의 탄환
29위,범털2 : 쩐의 전쟁
30위,베놈 2: 렛 데어 비 카니지
31위,극장판 콩순이: 장난감나라 대모험
32위,브리짓 존스의 일기
33위,써니
34위,자산어보
35위,콰이어트 플레이스 2
36위,내겐 너무 소중한 너
37위,프로페서 앤 매드맨
38위,발신제한
39위,2067
40위,인셉션
41위,잭 스나이더의 저스티스 리그
42위,썰
43위,분노의 질주: 더 세븐
44위,노바디
45위,범죄도시2
46위,낙원의 밤
47위,킬러의 보디가드 2
48위,쿠사마 야요이: 무한의 세계
49위,그린 북
50위,어른들은 몰라요
